,Feature,Importance,Model
0,accommodates,0.027376196420591328,Random Forest
1,bathrooms,0.05627703099846221,Random Forest
2,host_response_rate,0.00478175835062056,Random Forest
3,neighbourhood_0,6.879188620258176e-05,Random Forest
4,neighbourhood_1,0.00308572487669133,Random Forest
5,neighbourhood_2,0.0026880465483908908,Random Forest
6,neighbourhood_3,0.003673550800530435,Random Forest
7,neighbourhood_4,0.005606118245893392,Random Forest
8,neighbourhood_5,0.004629676673687424,Random Forest
9,neighbourhood_6,0.0036941058056995757,Random Forest
10,neighbourhood_7,0.0033381572006667562,Random Forest
11,neighbourhood_8,0.0055540376737339674,Random Forest
12,neighbourhood_9,0.005470482651352425,Random Forest
13,number_of_reviews,0.02523981758723593,Random Forest
14,review_scores_rating,0.011928208268936587,Random Forest
15,zipcode_0,0.00026600364030990336,Random Forest
16,zipcode_1,0.0030303208357609157,Random Forest
17,zipcode_2,0.0030989734355011418,Random Forest
18,zipcode_3,0.003748758999211682,Random Forest
19,zipcode_4,0.0037220828994879358,Random Forest
20,zipcode_5,0.004338930313668367,Random Forest
21,zipcode_6,0.0031347829840821257,Random Forest
22,zipcode_7,0.0031174861647301475,Random Forest
23,zipcode_8,0.0030233750162561627,Random Forest
24,zipcode_9,0.0033769181122768666,Random Forest
25,bedrooms,0.13257257265735772,Random Forest
26,beds,0.0038838353717628444,Random Forest
27,is_new_listing,0.010274129057351856,Random Forest
28,distance_to_downtown,0.09170107856300998,Random Forest
29,hosting_duration_years,0.027878879188288387,Random Forest
30,description_length,0.01119986557779641,Random Forest
31,word_count,0.01693328353205949,Random Forest
32,important_word_ratio,0.02353317782730423,Random Forest
33,selected_word_count,0.00858468285355675,Random Forest
34,selected_word_ratio,0.02030122642562663,Random Forest
35,amenities_count,0.021368568257656123,Random Forest
36,property_type_Condo_Townhouse,0.0009463872360137355,Random Forest
37,property_type_House,0.00400709771639919,Random Forest
38,property_type_Other,0.0018574942508301838,Random Forest
39,room_type_Private room,0.31487031483363015,Random Forest
40,room_type_Shared room,0.06661685664402013,Random Forest
41,cancellation_policy_moderate,0.0016415112816946242,Random Forest
42,cancellation_policy_strict,0.002592424674523666,Random Forest
43,cancellation_policy_super_strict_30,2.4584210989955952e-05,Random Forest
44,cancellation_policy_super_strict_60,2.178899190754894e-05,Random Forest
45,cleaning_fee_True,0.0033631170976727636,Random Forest
46,city_Chicago,0.004330708120156308,Random Forest
47,city_DC,0.006649679653424429,Random Forest
48,city_LA,0.0059000612633952395,Random Forest
49,city_NYC,0.007071070827525955,Random Forest
50,city_SF,0.006047900943756962,Random Forest
51,host_identity_verified_t,0.0026058197039209524,Random Forest
52,instant_bookable_t,0.0025915171860899154,Random Forest
53,amenities_cluster_1,0.0003145833787793048,Random Forest
54,amenities_cluster_2,0.002440564675129989,Random Forest
55,amenities_cluster_3,0.0014485782661233786,Random Forest
56,amenities_cluster_4,0.0021573033422647046,Random Forest
57,accommodates,0.01051421370357275,XGBoost
58,bathrooms,0.015111016109585762,XGBoost
59,host_response_rate,0.001895419554784894,XGBoost
60,neighbourhood_0,0.002909383736550808,XGBoost
61,neighbourhood_1,0.0029584544245153666,XGBoost
62,neighbourhood_2,0.0018562714103609324,XGBoost
63,neighbourhood_3,0.0022929301485419273,XGBoost
64,neighbourhood_4,0.0026590977795422077,XGBoost
65,neighbourhood_5,0.0028828552458435297,XGBoost
66,neighbourhood_6,0.002251087687909603,XGBoost
67,neighbourhood_7,0.0023274333216249943,XGBoost
68,neighbourhood_8,0.003353638108819723,XGBoost
69,neighbourhood_9,0.003635963425040245,XGBoost
70,number_of_reviews,0.003176894271746278,XGBoost
71,review_scores_rating,0.0026498246006667614,XGBoost
72,zipcode_0,0.003938554786145687,XGBoost
73,zipcode_1,0.004001101478934288,XGBoost
74,zipcode_2,0.0032517549116164446,XGBoost
75,zipcode_3,0.003324611810967326,XGBoost
76,zipcode_4,0.002994757844135165,XGBoost
